Vision,1.5,1.6,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8
Anemo,59.38,61.58,40.9,41.4,39.97,33.43,26.5,26.77,36.77,28.08,30.53,24.01,20.07,19.64,16.52,15.3,12.42,11.72,15.99,12.67
Cryo,35.01,28.76,26.91,28.5,30.75,27.52,30.24,21.27,33.97,12.91,24.7,24.49,20.43,17.5,11.22,5.63,11.1,8.17,10.8,10.41
Dendro,,,,,,,,,,,,10.7,20.45,28.47,29.37,33.86,33.86,29.4,26.5,30.25
Electro,12.24,7.74,5.9,11.99,18.77,19.46,16.43,23.9,15.82,14.97,13.71,14.24,16.9,19.66,19.47,17.09,18.55,17.9,15.1,16.42
Geo,40.72,33.52,40.7,38.12,34.4,39.02,29.57,38.43,12.83,29.66,22.76,20.57,16.23,15.57,28.44,14.84,11.73,12.77,12.09,9.01
Hydro,37.7,34.5,43.48,41.25,41.58,42.62,47.8,43.2,51.28,37.47,47.06,46.86,34.49,39.0,37.17,31.66,35.21,39.61,31.84,42.52
Pyro,29.57,27.14,21.01,24.1,27.48,25.13,23.7,24.47,12.58,29.19,32.33,27.64,20.98,18.55,22.12,16.21,22.6,16.65,22.05,12.92
